norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,975.979462745232,Low LEO,LEO-Polar,LOW,90.2238,0.0026757,2024,0,<1yr,13.76597597,2026-05-27 07:37:48.845280,celestrak,2026-05-27,US,2026-05-27
902,CALSPHERE 2,PAYLOAD,Other,1061.6131235662797,Mid LEO,LEO-Polar,LOW,90.2376,0.0016697,2024,0,<1yr,13.52898571,2026-05-27 06:28:30.648288,celestrak,2026-05-27,US,2026-05-27
1361,LCS 1,PAYLOAD,Other,2787.8682720303923,High LEO,MEO,LOW,32.1387,0.0012556,2024,0,<1yr,9.89310476,2026-05-27 11:18:42.543936,celestrak,2026-05-27,US,2026-05-27
1512,TEMPSAT 1,PAYLOAD,Other,1133.2420967918242,Mid LEO,LEO-Polar,HIGH,90.0002,0.00679762,2024,0,<1yr,13.33592794,2026-05-27 04:51:52.555104,celestrak,2026-05-27,US,2026-05-27
1520,CALSPHERE 4A,PAYLOAD,Other,1123.1910789806661,Mid LEO,LEO-Polar,HIGH,89.8969,0.0070329,2024,0,<1yr,13.3627401,2026-05-27 08:25:35.730336,celestrak,2026-05-27,US,2026-05-27
2826,OPS 5712 (P/L 160),PAYLOAD,Other,637.6212339889489,Low LEO,LEO-Inclined,MEDIUM,69.9163,0.0001253,2024,0,<1yr,14.77375321,2026-05-27 09:37:07.441248,celestrak,2026-05-27,US,2026-05-27
2866,LES-5,PAYLOAD,Other,33401.0104291648,MEO,MEO,LOW,2.5754,0.00528548,2024,0,<1yr,1.09425756,2026-05-27 03:48:48.849408,celestrak,2026-05-27,US,2026-05-27
2872,SURCAL 159,PAYLOAD,Other,895.1898887644575,Low LEO,LEO-Inclined,MEDIUM,69.9754,0.00057177,2024,0,<1yr,13.99597319,2026-05-27 03:31:17.443488,celestrak,2026-05-27,US,2026-05-27
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.8103497811308,Low LEO,LEO-Inclined,LOW,69.9717,0.0009507,2024,0,<1yr,13.96825023,2026-05-27 10:16:39.499680,celestrak,2026-05-27,US,2026-05-27
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36389.38391437479,Beyond GEO,HEO,LOW,0.3105,0.0021787,2024,0,<1yr,0.98159344,2026-05-18 12:13:03.794016,celestrak,2026-05-18,US,2026-05-18
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,765.6377239210697,Low LEO,LEO-Polar,MEDIUM,87.6214,0.0057924,2024,0,<1yr,14.37841902,2026-05-27 12:32:50.848800,celestrak,2026-05-27,US,2026-05-27
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.066253073831,Mid LEO,LEO-Polar,LOW,101.9906,0.0012347,2024,0,<1yr,12.53697745,2026-05-27 11:58:09.236928,celestrak,2026-05-27,US,2026-05-27
7646,STARLETTE,PAYLOAD,Other,955.5626726310975,Low LEO,LEO-Inclined,LOW,49.822,0.0205579,2024,0,<1yr,13.82350203,2026-05-27 11:42:10.619424,celestrak,2026-05-27,FR,2026-05-27
8820,LAGEOS 1,PAYLOAD,Other,5893.049500727814,High LEO,MEO,LOW,109.8029,0.00446784,2024,0,<1yr,6.38664721,2026-05-27 02:16:27.265728,celestrak,2026-05-27,US,2026-05-27
13086,OPS 8701 (DSP 10),PAYLOAD,Other,36381.23139253016,Beyond GEO,HEO,LOW,9.351,0.0003926,2024,0,<1yr,0.98187418,2026-05-18 12:06:11.005056,celestrak,2026-05-18,US,2026-05-18
14129,PHASE 3B (AO-10),PAYLOAD,Other,19723.90764615421,MEO,MEO,MEDIUM,25.8993,0.6017961,2024,0,<1yr,2.05869007,2026-05-27 11:44:46.115232,celestrak,2026-05-27,GER,2026-05-27
14781,UOSAT 2 (UO-11),PAYLOAD,Other,595.6724717090983,Low LEO,LEO-Polar,HIGH,97.8045,0.0006109,2024,0,<1yr,14.90725378,2026-05-27 11:32:25.459872,celestrak,2026-05-27,UK,2026-05-27
16908,AJISAI (EGS),PAYLOAD,Other,1487.5153945369184,Mid LEO,LEO-Inclined,LOW,50.0075,0.0011344,2024,0,<1yr,12.44516438,2026-05-27 12:24:02.414304,celestrak,2026-05-27,JPN,2026-05-27
19548,TDRS 3,PAYLOAD,Other,35788.81144562105,GEO,GEO-Inclined,HIGH,12.6175,0.0039152,2024,0,<1yr,1.00263879,2026-05-27 10:15:51.863904,celestrak,2026-05-27,US,2026-05-27
19751,COSMOS 1989 (ETALON 1),PAYLOAD,Other,19125.576712688384,MEO,MEO,MEDIUM,64.9342,0.0023336,2024,0,<1yr,2.13156031,2026-05-27 09:02:53.995776,celestrak,2026-05-27,CIS,2026-05-27
20026,COSMOS 2024 (ETALON 2),PAYLOAD,Other,19121.699734428774,MEO,MEO,MEDIUM,64.9484,0.0020624,2024,0,<1yr,2.13204645,2026-05-27 09:26:20.370048,celestrak,2026-05-27,CIS,2026-05-27
20253,FLTSATCOM 8 (USA 46),PAYLOAD,Other,35788.56219573789,GEO,GEO-Inclined,HIGH,12.4273,0.0005893,2024,0,<1yr,1.00264768,2026-05-27 11:05:39.588864,celestrak,2026-05-27,US,2026-05-27
20442,LUSAT (LO-19),PAYLOAD,Other,778.0057744752949,Low LEO,LEO-Polar,MEDIUM,98.8859,0.0010426,2024,0,<1yr,14.34115953,2026-05-27 12:43:45.124896,celestrak,2026-05-27,ARGN,2026-05-27
20580,HST,PAYLOAD,Other,474.28980062127357,Very Low LEO,LEO-Equatorial,HIGH,28.4731,0.0001327,2024,0,<1yr,15.3050994,2026-05-27 12:57:16.841664,celestrak,2026-05-27,US,2026-05-27
20776,SKYNET 4C,PAYLOAD,Other,35784.950308303974,GEO,MEO,HIGH,13.346,0.00029002,2024,0,<1yr,1.00277652,2026-05-27 05:13:38.813376,celestrak,2026-05-27,UK,2026-05-27
20929,USA 65 (DSP 15),PAYLOAD,Other,36320.01580918078,Beyond GEO,HEO,LOW,14.0225,0.0004139,2024,0,<1yr,0.98398648,2026-05-18 09:52:31.466784,celestrak,2026-05-18,US,2026-05-18
21639,TDRS 5,PAYLOAD,Other,35787.968665006876,GEO,GEO-Inclined,HIGH,14.074,0.0006371,2024,0,<1yr,1.00266885,2026-05-27 06:57:09.724032,celestrak,2026-05-27,US,2026-05-27
21805,USA 75 (DSP 16),PAYLOAD,Other,36093.49836529495,Beyond GEO,HEO,LOW,14.0192,0.0004031,2024,0,<1yr,0.99186893,2026-05-18 11:09:34.632288,celestrak,2026-05-18,US,2026-05-18
22195,LAGEOS 2,PAYLOAD,Other,5783.7500822863085,High LEO,MEO,LOW,52.6604,0.0137785,2024,0,<1yr,6.47293598,2026-05-27 10:59:29.276736,celestrak,2026-05-27,IT,2026-05-27
22314,TDRS 6,PAYLOAD,Other,35784.58450907134,GEO,MEO,HIGH,14.1828,0.0006918,2024,0,<1yr,1.00278957,2026-05-27 10:16:51.769344,celestrak,2026-05-27,US,2026-05-27
22490,SCD 1,PAYLOAD,Other,738.3818847912644,Low LEO,LEO-Equatorial,MEDIUM,24.9711,0.004173,2024,0,<1yr,14.46110078,2026-05-27 12:33:06.888096,celestrak,2026-05-27,BRAZ,2026-05-27
22787,UFO 2 (USA 95),PAYLOAD,Other,35784.552834875016,GEO,MEO,HIGH,11.8879,0.00078098,2024,0,<1yr,1.0027907,2026-05-27 05:13:38.813376,celestrak,2026-05-27,US,2026-05-27
22824,STELLA,PAYLOAD,Other,800.2006947074342,Low LEO,LEO-Polar,MEDIUM,98.7734,0.0005412,2024,0,<1yr,14.27469817,2026-05-27 12:34:58.173024,celestrak,2026-05-27,FR,2026-05-27
22825,EYESAT A (AO-27),PAYLOAD,Other,788.6050139709141,Low LEO,LEO-Polar,MEDIUM,98.6886,0.00088771,2024,0,<1yr,14.30935655,2026-05-27 03:54:01.012608,celestrak,2026-05-27,US,2026-05-27
22826,ITAMSAT (IO-26),PAYLOAD,Other,787.1816976022701,Low LEO,LEO-Polar,MEDIUM,98.6835,0.0009668,2024,0,<1yr,14.31362037,2026-05-27 10:16:02.210304,celestrak,2026-05-27,IT,2026-05-27
22988,USA 99 (MILSTAR-1 1),PAYLOAD,Other,36226.25502577019,Beyond GEO,HEO,LOW,17.5949,8.75e-05,2024,2,<1yr,0.9872365,2026-05-25 12:55:21.158112,celestrak,2026-05-27,US,2026-05-27
23439,RADIO ROSTO (RS15),PAYLOAD,Other,2022.3151352697578,High LEO,MEO,LOW,64.8187,0.0155351,2024,0,<1yr,11.27583649,2026-05-27 12:57:45.897120,celestrak,2026-05-27,CIS,2026-05-27
23467,UFO 4 (USA 108),PAYLOAD,Other,35787.33506526366,GEO,GEO-Inclined,HIGH,9.6991,0.0003072,2024,0,<1yr,1.00269145,2026-05-27 11:22:38.610336,celestrak,2026-05-27,US,2026-05-27
23613,TDRS 7,PAYLOAD,Other,35787.11835718586,GEO,GEO-Inclined,HIGH,13.386,0.0011073,2024,0,<1yr,1.00269918,2026-05-27 12:38:09.059136,celestrak,2026-05-27,US,2026-05-27
23712,USA 115 (MILSTAR-1 2),PAYLOAD,Other,35759.82056395865,GEO,MEO,HIGH,14.066,0.0001096,2024,0,<1yr,1.00367369,2026-05-27 06:31:44.008032,celestrak,2026-05-27,US,2026-05-27
23802,POLAR,PAYLOAD,Other,29112.678387999815,MEO,MEO,LOW,79.8328,0.6449469,2024,0,<1yr,1.29846066,2026-05-27 05:46:49.795104,celestrak,2026-05-27,US,2026-05-27
23839,INMARSAT 3-F1,PAYLOAD,Other,35867.58611584996,GEO,GEO-Inclined,HIGH,10.5587,0.00034936,2024,0,<1yr,0.9998357,2026-05-27 03:18:28.306368,celestrak,2026-05-27,IM,2026-05-27
23893,USA 119,PAYLOAD,Other,1086.3409130207538,Mid LEO,LEO-Inclined,LOW,63.3196,0.0850073,2024,0,<1yr,13.46181463,2026-05-27 12:52:00.616800,celestrak,2026-05-27,US,2026-05-27
24278,JAS-2 (FO-29),PAYLOAD,Other,1060.2396580264613,Mid LEO,LEO-Polar,LOW,98.5261,0.0350391,2024,0,<1yr,13.53273299,2026-05-27 12:50:40.701120,celestrak,2026-05-27,JPN,2026-05-27
24307,INMARSAT 3-F2,PAYLOAD,Other,35861.80665804882,GEO,GEO-Inclined,HIGH,9.8117,0.0006707,2024,0,<1yr,1.00004091,2026-05-27 11:18:17.919936,celestrak,2026-05-27,IM,2026-05-27
24674,INMARSAT 3-F3,PAYLOAD,Other,35870.055823753646,GEO,GEO-Inclined,HIGH,10.2732,0.00037587,2024,0,<1yr,0.99974803,2026-05-26 19:24:24.427584,celestrak,2026-05-27,IM,2026-05-27
24876,NAVSTAR 43 (USA 132),PAYLOAD,Other,20182.18724529077,MEO,MEO,MEDIUM,55.9845,0.0101426,2024,0,<1yr,2.00563871,2026-05-27 06:16:07.775904,celestrak,2026-05-27,US,2026-05-27
24920,FORTE,PAYLOAD,Other,798.6394889375197,Low LEO,LEO-Inclined,MEDIUM,69.9544,0.0024258,2024,0,<1yr,14.27935631,2026-05-27 12:00:24.837408,celestrak,2026-05-27,US,2026-05-27
24936,AMC-3,PAYLOAD,Other,35786.44666393939,GEO,GEO-Inclined,HIGH,8.0962,0.0003165,2024,0,<1yr,1.00272314,2026-05-27 06:20:38.606208,celestrak,2026-05-27,SES,2026-05-27
25019,USA 134,PAYLOAD,Other,35786.3533130303,GEO,GEO-Inclined,HIGH,12.7607,0.0004661,2024,0,<1yr,1.00272647,2026-05-27 06:10:03.552384,celestrak,2026-05-27,US,2026-05-27
25118,ORBCOMM FM06,PAYLOAD,Other,733.8201659193082,Low LEO,LEO-Inclined,MEDIUM,45.0122,0.0002299,2024,0,<1yr,14.47501637,2026-05-27 10:56:21.951168,celestrak,2026-05-27,ORB,2026-05-27
25153,INMARSAT 3-F5,PAYLOAD,Other,35787.440757018085,GEO,GEO-Inclined,HIGH,9.6485,0.00052111,2024,0,<1yr,1.00268768,2026-05-27 04:38:15.543744,celestrak,2026-05-27,IM,2026-05-27
25159,ORBCOMM FM04,PAYLOAD,Other,772.7588823042506,Low LEO,LEO-Retrograde,MEDIUM,107.9623,0.0040636,2024,0,<1yr,14.35694643,2026-05-27 11:48:28.686816,celestrak,2026-05-27,ORB,2026-05-27
25160,CELESTIS-02 & TAURUS R/B,ROCKET BODY,Other,816.9821678292883,Low LEO,LEO-Retrograde,MEDIUM,108.0114,0.006177,2024,0,<1yr,14.2247871,2026-05-27 08:48:24.480000,celestrak,2026-05-27,US,2026-05-27
25397,TECHSAT 1B (GO-32),PAYLOAD,Other,810.4304591919445,Low LEO,LEO-Polar,MEDIUM,99.0063,2.72e-05,2024,0,<1yr,14.24423838,2026-05-27 11:35:45.233952,celestrak,2026-05-27,ISRA,2026-05-27
25398,WESTPAC,PAYLOAD,Other,815.0493268292312,Low LEO,LEO-Polar,MEDIUM,99.0127,2.99e-05,2024,0,<1yr,14.23052088,2026-05-27 12:37:15.494592,celestrak,2026-05-27,AUS,2026-05-27
25415,ORBCOMM FM19,PAYLOAD,Other,760.3134791476705,Low LEO,LEO-Equatorial,MEDIUM,44.9951,0.00033041,2024,0,<1yr,14.39450833,2026-05-27 00:03:02.030976,celestrak,2026-05-27,ORB,2026-05-27
25416,ORBCOMM FM20,PAYLOAD,Other,765.00707161216,Low LEO,LEO-Equatorial,MEDIUM,44.9953,5.76e-05,2024,0,<1yr,14.38032322,2026-05-27 12:27:19.996416,celestrak,2026-05-27,ORB,2026-05-27
25481,ORBCOMM FM27,PAYLOAD,Other,761.4946024449846,Low LEO,LEO-Inclined,MEDIUM,45.0055,0.00011962,2024,0,<1yr,14.39093651,2026-05-27 03:40:55.357536,celestrak,2026-05-27,ORB,2026-05-27
25504,SCD 2,PAYLOAD,Other,740.3297533656714,Low LEO,LEO-Equatorial,MEDIUM,24.9938,0.0016466,2024,0,<1yr,14.45516557,2026-05-27 12:56:59.770752,celestrak,2026-05-27,BRAZ,2026-05-27
25544,ISS (ZARYA),PAYLOAD,Other,418.42677526063017,Very Low LEO,LEO-Inclined,HIGH,51.6335,0.0007385,2024,0,<1yr,15.49418251,2026-05-27 11:40:04.731168,celestrak,2026-05-27,CIS,2026-05-27
25560,SWAS,PAYLOAD,Other,537.8832632991534,Low LEO,LEO-Inclined,HIGH,69.8962,0.0008555,2024,0,<1yr,15.09448765,2026-05-27 12:57:54.514656,celestrak,2026-05-27,US,2026-05-27
25575,ISS (UNITY),PAYLOAD,Other,418.42677526063017,Very Low LEO,LEO-Inclined,HIGH,51.6335,0.0007385,2024,0,<1yr,15.49418251,2026-05-27 11:40:04.731168,celestrak,2026-05-27,US,2026-05-27
25639,SKYNET 4E,PAYLOAD,Other,36138.21563382071,Beyond GEO,HEO,LOW,11.9991,0.000393,2024,0,<1yr,0.99030452,2026-02-25 04:18:38.724768,celestrak,2026-02-25,UK,2026-02-25
25757,DLR-TUBSAT,PAYLOAD,Other,717.7537530590971,Low LEO,LEO-Polar,MEDIUM,98.6691,0.0015182,2024,0,<1yr,14.52420537,2026-05-27 11:43:29.863776,celestrak,2026-05-27,GER,2026-05-27
25867,CXO,PAYLOAD,Other,74412.78362510493,Beyond GEO,HEO,LOW,55.8621,0.78661114,2024,-1,UNKNOWN,0.37805843,2026-05-28 05:16:46.428384,celestrak,2026-05-27,US,2026-05-27
25924,ABS-6,PAYLOAD,Other,35786.708217436564,GEO,GEO,HIGH,0.0117,0.000379,2024,0,<1yr,1.00271381,2026-05-27 11:57:42.833088,celestrak,2026-05-27,ABS,2026-05-27
25933,NAVSTAR 46 (USA 145),PAYLOAD,Other,20182.23024041918,MEO,MEO,MEDIUM,51.4831,0.0106643,2024,0,<1yr,2.00563384,2026-05-27 08:44:37.247136,celestrak,2026-05-27,US,2026-05-27
25967,UFO 10 (USA 146),PAYLOAD,Other,35787.80773963132,GEO,GEO-Inclined,HIGH,9.8423,0.00024555,2024,1,<1yr,1.00267459,2026-05-26 02:05:38.807808,celestrak,2026-05-27,US,2026-05-27
25982,ORBCOMM FM32,PAYLOAD,Other,768.0964934851354,Low LEO,LEO-Inclined,MEDIUM,45.0156,0.0005682,2024,0,<1yr,14.37099899,2026-05-27 08:47:00.196800,celestrak,2026-05-27,ORB,2026-05-27
25989,XMM-NEWTON,PAYLOAD,Other,60560.69674319528,Beyond GEO,HEO,LOW,64.5827,0.4678751,2024,-2,UNKNOWN,0.50128597,2026-05-29 09:36:57.054240,celestrak,2026-05-27,ESA,2026-05-27
25994,TERRA,PAYLOAD,Other,689.6762636329131,Low LEO,LEO-Polar,MEDIUM,97.9468,0.0001031,2024,0,<1yr,14.61083923,2026-05-27 11:34:34.494816,celestrak,2026-05-27,US,2026-05-27
26107,ASIASTAR,PAYLOAD,Other,35786.12876836515,GEO,GEO-Inclined,HIGH,9.0839,0.0005096,2024,0,<1yr,1.00273448,2026-05-27 05:51:51.110784,celestrak,2026-05-27,US,2026-05-27
26113,IMAGE,PAYLOAD,Other,23433.368837041802,MEO,MEO,MEDIUM,94.2067,0.74524778,2024,7,<1yr,1.68665746,2026-05-20 09:48:00.949248,celestrak,2026-05-27,US,2026-05-27
26356,USA 149 (DSP 20),PAYLOAD,Other,35787.921564738026,GEO,GEO-Inclined,HIGH,13.1558,0.000212,2024,0,<1yr,1.00267053,2026-05-27 08:08:34.795968,celestrak,2026-05-27,US,2026-05-27
26360,NAVSTAR 47 (USA 150),PAYLOAD,Other,20182.057554674084,MEO,MEO,MEDIUM,55.0616,0.0038847,2024,1,<1yr,2.0056534,2026-01-09 00:59:27.288384,celestrak,2026-01-10,US,2026-01-10
26388,TDRS 8,PAYLOAD,Other,35786.79596351626,GEO,GEO-Inclined,HIGH,12.652,0.0005228,2024,0,<1yr,1.00271068,2026-05-27 13:05:25.228032,celestrak,2026-05-27,US,2026-05-27
26400,ISS (ZVEZDA),PAYLOAD,Other,418.42677526063017,Very Low LEO,LEO-Inclined,HIGH,51.6335,0.0007385,2024,0,<1yr,15.49418251,2026-05-27 11:40:04.731168,celestrak,2026-05-27,CIS,2026-05-27
26407,NAVSTAR 48 (USA 151),PAYLOAD,Other,20182.742575636705,MEO,MEO,MEDIUM,54.8544,0.0121311,2024,0,<1yr,2.00557581,2026-05-27 08:38:01.670784,celestrak,2026-05-27,US,2026-05-27
26410,CLUSTER II-FM7 (SAMBA),PAYLOAD,Other,65714.31746687267,Beyond GEO,HEO,LOW,149.874,0.9027907,2024,-1,UNKNOWN,0.44850578,2026-05-28 01:24:28.885824,celestrak,2026-05-27,ESA,2026-05-27
26464,CLUSTER II-FM8 (TANGO),PAYLOAD,Other,66201.73655662613,Beyond GEO,HEO,LOW,150.1183,0.903053,2024,1,<1yr,0.44399538,2026-05-25 22:12:57.434400,celestrak,2026-05-27,ESA,2026-05-27
26554,NSS-11,PAYLOAD,Other,35786.339857086,GEO,GEO,HIGH,2.0751,0.0003144,2024,0,<1yr,1.00272695,2026-05-27 11:20:02.753376,celestrak,2026-05-27,SES,2026-05-27
26575,USA 153,PAYLOAD,Other,35785.74500294323,GEO,MEO,HIGH,11.5892,0.00032164,2024,1,<1yr,1.00274817,2026-05-26 13:45:38.626272,celestrak,2026-05-27,US,2026-05-27
26580,AMC-6,PAYLOAD,Other,35786.7068157457,GEO,GEO,HIGH,0.1011,0.0003653,2024,0,<1yr,1.00271386,2026-05-27 10:48:43.582752,celestrak,2026-05-27,SES,2026-05-27
26605,NAVSTAR 49 (USA 154),PAYLOAD,Other,20181.952408440353,MEO,MEO,MEDIUM,55.6148,0.0174389,2024,0,<1yr,2.00566531,2026-05-27 05:10:32.572128,celestrak,2026-05-27,US,2026-05-27
26700,ISS (DESTINY),PAYLOAD,Other,418.42677526063017,Very Low LEO,LEO-Inclined,HIGH,51.6335,0.0007385,2024,0,<1yr,15.49418251,2026-05-27 11:40:04.731168,celestrak,2026-05-27,US,2026-05-27
26702,ODIN,PAYLOAD,Other,361.88452064611465,Very Low LEO,LEO-Polar,MEDIUM,97.3896,0.0005018,2024,0,<1yr,15.68956263,2026-05-27 02:13:55.778016,celestrak,2026-05-27,SWED,2026-05-27
26715,USA 157 (MILSTAR-2 2),PAYLOAD,Other,35787.03425389532,GEO,GEO-Inclined,HIGH,11.5209,0.0037993,2024,0,<1yr,1.00270218,2026-05-27 08:49:37.018848,celestrak,2026-05-27,US,2026-05-27
26720,BSAT-2A,PAYLOAD,Other,36095.15757107269,Beyond GEO,HEO,LOW,10.6895,0.00023875,2024,0,<1yr,0.99181081,2026-05-27 00:13:25.402656,celestrak,2026-05-27,JPN,2026-05-27
26766,INTELSAT 10 (IS-10),PAYLOAD,Other,36135.79898610078,Beyond GEO,HEO,LOW,8.8838,0.0005478,2024,0,<1yr,0.99038896,2026-03-28 01:16:30.605664,celestrak,2026-03-28,US,2026-03-28
26857,OMNI-M1,PAYLOAD,Other,10600.969486900824,MEO,MEO,LOW,44.8364,0.0014835,2024,0,<1yr,3.92401369,2026-05-27 08:02:17.017152,celestrak,2026-05-27,NICO,2026-05-27
26880,USA 159 (DSP 21),PAYLOAD,Other,36088.85219533918,Beyond GEO,HEO,LOW,12.7633,0.0001023,2024,0,<1yr,0.99203171,2026-05-27 08:44:17.356128,celestrak,2026-05-27,US,2026-05-27
26900,INTELSAT 902 (IS-902),PAYLOAD,Other,35786.38190694755,GEO,GEO-Inclined,HIGH,6.0659,0.0004277,2024,0,<1yr,1.00272545,2026-05-27 07:07:49.832256,celestrak,2026-05-27,ITSO,2026-05-27
26931,PCSAT (NO-44),PAYLOAD,Other,785.2296804775879,Low LEO,LEO-Inclined,MEDIUM,67.0509,0.0006161,2024,0,<1yr,14.31947146,2026-05-27 11:38:26.021760,celestrak,2026-05-27,US,2026-05-27
26958,PROBA-1,PAYLOAD,Other,544.1325778684204,Low LEO,LEO-Polar,HIGH,97.9604,0.0054643,2024,0,<1yr,15.07405167,2026-05-27 13:25:15.807072,celestrak,2026-05-27,ESA,2026-05-27
26998,TIMED,PAYLOAD,Other,581.645240852281,Low LEO,LEO-Inclined,HIGH,74.0677,1.96e-05,2024,0,<1yr,14.95234416,2026-05-27 11:13:56.000064,celestrak,2026-05-27,US,2026-05-27
27004,MAROC-TUBSAT,PAYLOAD,Other,998.6322803491757,Low LEO,LEO-Polar,LOW,99.8074,0.0019647,2024,0,<1yr,13.70261518,2026-05-27 11:38:17.920032,celestrak,2026-05-27,GER,2026-05-27
27056,COSMOS 2385,PAYLOAD,Other,1420.6164534422269,Mid LEO,LEO-Polar,LOW,82.5379,0.0004923,2024,0,<1yr,12.60564219,2026-05-27 12:20:34.934208,celestrak,2026-05-27,CIS,2026-05-27
27057,COSMOS 2386,PAYLOAD,Other,1416.2802464107626,Mid LEO,LEO-Polar,LOW,82.5451,0.00016,2024,0,<1yr,12.61616285,2026-05-27 07:30:58.044384,celestrak,2026-05-27,CIS,2026-05-27
27168,USA 164 (MILSTAR-2 3),PAYLOAD,Other,35787.18115458293,GEO,GEO-Inclined,HIGH,11.1551,0.0100065,2024,0,<1yr,1.00269694,2026-05-26 20:53:50.155296,celestrak,2026-05-27,US,2026-05-27
27380,INTELSAT 904 (IS-904),PAYLOAD,Other,35786.33509144164,GEO,GEO-Inclined,HIGH,6.87,0.0007355,2024,0,<1yr,1.00272712,2026-05-27 04:32:38.783328,celestrak,2026-05-27,ITSO,2026-05-27
27424,AQUA,PAYLOAD,Other,686.333134149384,Low LEO,LEO-Polar,MEDIUM,98.4267,0.0001843,2024,0,<1yr,14.62121192,2026-05-27 12:48:40.326048,celestrak,2026-05-27,US,2026-05-27
27426,DIRECTV 5 (TEMPO 1),PAYLOAD,Other,35786.392559595784,GEO,GEO,HIGH,4.8269,0.0003457,2024,0,<1yr,1.00272507,2026-05-27 09:58:31.028160,celestrak,2026-05-27,US,2026-05-27
27438,INTELSAT 905 (IS-905),PAYLOAD,Other,35786.73344789196,GEO,GEO-Inclined,HIGH,6.7039,0.0004179,2024,0,<1yr,1.00271291,2026-05-27 11:51:45.302976,celestrak,2026-05-27,ITSO,2026-05-27
27445,GALAXY 3C (G-3C),PAYLOAD,Other,35786.64093640671,GEO,GEO,HIGH,3.6774,0.0001849,2024,0,<1yr,1.00271621,2026-05-26 21:48:12.862080,celestrak,2026-05-27,US,2026-05-27
27464,COSMOS 2390,PAYLOAD,Other,1487.0696506033482,Mid LEO,LEO-Polar,LOW,82.4861,0.0024863,2024,0,<1yr,12.44622235,2026-05-27 13:02:48.144192,celestrak,2026-05-27,CIS,2026-05-27
27465,COSMOS 2391,PAYLOAD,Other,1485.7075942128777,Mid LEO,LEO-Polar,LOW,82.4855,0.002563,2024,0,<1yr,12.44945611,2026-05-27 13:34:31.122336,celestrak,2026-05-27,CIS,2026-05-27
27513,INTELSAT 906 (IS-906),PAYLOAD,Other,35786.534969328946,GEO,GEO-Inclined,HIGH,5.7514,0.0004592,2024,0,<1yr,1.00271999,2026-05-27 12:21:11.439936,celestrak,2026-05-27,ITSO,2026-05-27
27606,LATINSAT B,PAYLOAD,Other,638.8342760190098,Low LEO,LEO-Inclined,MEDIUM,64.5545,0.0087338,2024,0,<1yr,14.76992241,2026-05-27 10:31:36.569280,celestrak,2026-05-27,ARGN,2026-05-27
27607,SAUDISAT 1C (SO-50),PAYLOAD,Other,619.8822372895993,Low LEO,LEO-Inclined,MEDIUM,64.5511,0.007559,2024,0,<1yr,14.82996288,2026-05-27 12:29:46.765824,celestrak,2026-05-27,SAUD,2026-05-27
27612,LATINSAT A,PAYLOAD,Other,612.2328360362217,Low LEO,LEO-Inclined,MEDIUM,64.5556,0.00541928,2024,0,<1yr,14.85431167,2026-05-27 02:00:57.612960,celestrak,2026-05-27,ARGN,2026-05-27
27632,NIMIQ 2,PAYLOAD,Other,35786.80885914473,GEO,GEO-Inclined,HIGH,9.4007,0.0006102,2024,0,<1yr,1.00271022,2026-05-27 07:57:17.188416,celestrak,2026-05-27,CA,2026-05-27
27640,CORIOLIS,PAYLOAD,Other,825.5606927859317,Low LEO,LEO-Polar,MEDIUM,98.7128,0.0012785,2024,0,<1yr,14.19938528,2026-05-27 11:31:48.560160,celestrak,2026-05-27,US,2026-05-27
27651,SORCE,PAYLOAD,Other,555.8778600608257,Low LEO,LEO-Equatorial,HIGH,39.9926,0.00187358,2024,0,<1yr,15.03576779,2026-05-27 00:27:27.121824,celestrak,2026-05-27,US,2026-05-27
27663,NAVSTAR 51 (USA 166),PAYLOAD,Other,20182.374412212084,MEO,MEO,MEDIUM,54.8855,0.01479396,2024,0,<1yr,2.00561751,2026-05-27 04:40:56.429184,celestrak,2026-05-27,US,2026-05-27
27691,USA 167,PAYLOAD,Other,35785.59727380469,GEO,MEO,HIGH,10.922,0.0004412,2024,0,<1yr,1.00275344,2026-05-27 07:52:55.220160,celestrak,2026-05-27,US,2026-05-27
27704,NAVSTAR 52 (USA 168),PAYLOAD,Other,20708.84257153723,MEO,MEO,MEDIUM,54.83,0.00030072,2024,7,<1yr,1.94743016,2026-05-20 13:40:33.306816,celestrak,2026-05-27,US,2026-05-27
27711,USA 169 (MILSTAR-2 4),PAYLOAD,Other,35786.28463176043,GEO,GEO-Inclined,HIGH,12.3198,0.0101748,2024,0,<1yr,1.00272892,2026-05-27 13:05:00.876192,celestrak,2026-05-27,US,2026-05-27
27718,ASIASAT 4,PAYLOAD,Other,35787.25068054528,GEO,GEO,HIGH,4.651,0.00029034,2024,0,<1yr,1.00269446,2026-05-26 21:38:51.948096,celestrak,2026-05-27,AC,2026-05-27
27811,HELLAS-SAT 2,PAYLOAD,Other,35786.51058017514,GEO,GEO-Inclined,HIGH,7.3049,0.0003075,2024,0,<1yr,1.00272086,2026-05-27 04:16:38.652096,celestrak,2026-05-27,GREC,2026-05-27
